date,metric,value,source
2011-05-01,type_2_departments_single_specialty,57066.99999999999,NHS England A&E
2011-05-01,emergency_admissions_via_type_2_ae,2982.0000000000014,NHS England A&E
2011-05-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,2.5714285714285707,NHS England A&E
2011-05-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,7308.571428571426,NHS England A&E
2011-05-01,other_emergency_admissions_ie_not_via_ae,121548.00000000006,NHS England A&E
2011-05-01,emergency_admissions_via_type_3_and_4_ae,2785.5714285714284,NHS England A&E
2011-05-01,emergency_admissions_via_type_1_ae,299961.0,NHS England A&E
2011-05-01,total_emergency_admissions,427276.5714285713,NHS England A&E
2011-06-01,operational_standard_performance,0.95,NHS England A&E
2011-06-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,7059.5714285714275,NHS England A&E
2011-06-01,type_2_departments_single_specialty,54739.428571428565,NHS England A&E
2011-06-01,emergency_admissions_via_type_2_ae,2838.57142857143,NHS England A&E
2011-06-01,other_emergency_admissions_ie_not_via_ae,117643.00000000004,NHS England A&E
2011-06-01,total_attendances,1785417.2857142866,NHS England A&E
2011-06-01,type_1_departments_major_ae,1168467.857142857,NHS England A&E
2011-06-01,type_3_departments_other_ae_minor_injury_unit,562209.9999999998,NHS England A&E
2011-06-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,9.571428571428573,NHS England A&E
2011-06-01,emergency_admissions_via_type_1_ae,290243.57142857136,NHS England A&E
2011-06-01,total_emergency_admissions,413320.8571428575,NHS England A&E
2011-06-01,total_emergency_admissions_via_ae,295677.85714285716,NHS England A&E
2011-06-01,emergency_admissions_via_type_3_and_4_ae,2595.7142857142867,NHS England A&E
2011-07-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,5644.571428571432,NHS England A&E
2011-07-01,other_emergency_admissions_ie_not_via_ae,120632.85714285717,NHS England A&E
2011-07-01,total_emergency_admissions,425797.8571428571,NHS England A&E
2011-07-01,total_emergency_admissions_via_ae,305165.0,NHS England A&E
2011-07-01,total_attendances,1864959.428571428,NHS England A&E
2011-07-01,emergency_admissions_via_type_1_ae,299077.2857142858,NHS England A&E
2011-07-01,emergency_admissions_via_type_2_ae,3494.428571428572,NHS England A&E
2011-07-01,operational_standard_performance,0.95,NHS England A&E
2011-07-01,emergency_admissions_via_type_3_and_4_ae,2593.2857142857138,NHS England A&E
2011-07-01,type_1_departments_major_ae,1211065.8571428566,NHS England A&E
2011-07-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,5.8571428571428585,NHS England A&E
2011-07-01,type_2_departments_single_specialty,56203.71428571431,NHS England A&E
2011-07-01,type_3_departments_other_ae_minor_injury_unit,597689.8571428569,NHS England A&E
2011-08-01,total_emergency_admissions,410554.28571428586,NHS England A&E
2011-08-01,total_attendances,1758108.2857142854,NHS England A&E
