metric,raw_metric_name,quarter,type,value,ci_lower,ci_upper
Workforce FTE (level),FTE: All staff groups - All staff groups,2030-12-31,forecast,1295345.1918014563,1178623.669804762,1412066.7137981507
Workforce FTE (level),FTE: All staff groups - All staff groups,2031-03-31,forecast,1302116.0049593977,1181054.8060000257,1423177.20391877
Workforce FTE (level),FTE: All staff groups - All staff groups,2031-06-30,forecast,1309288.2395948796,1184036.59337193,1434539.885817829
Workforce FTE (level),FTE: All staff groups - All staff groups,2031-09-30,forecast,1316609.9663403363,1187276.5062994175,1445943.4263812548
Workforce FTE (level),FTE: All staff groups - All staff groups,2031-12-31,forecast,1324173.8778848879,1190883.1989030836,1457464.556866692
Bed occupancy (level),total_occupied_beds_overnight,2010-04-01,history,122551.281396,,
Bed occupancy (level),total_occupied_beds_overnight,2010-07-01,history,119298.215581,,
Bed occupancy (level),total_occupied_beds_overnight,2010-10-01,history,121496.947069,,
Bed occupancy (level),total_occupied_beds_overnight,2011-01-01,history,123278.987765,,
Bed occupancy (level),total_occupied_beds_overnight,2011-04-01,history,116452.287424,,
Bed occupancy (level),total_occupied_beds_overnight,2011-07-01,history,116372.291998,,
Bed occupancy (level),total_occupied_beds_overnight,2011-10-01,history,117708.279849,,
Bed occupancy (level),total_occupied_beds_overnight,2012-01-01,history,122104.779217,,
Bed occupancy (level),total_occupied_beds_overnight,2012-04-01,history,118063.637501,,
Bed occupancy (level),total_occupied_beds_overnight,2012-07-01,history,115730.181975,,
Bed occupancy (level),total_occupied_beds_overnight,2012-10-01,history,116974.327951,,
Bed occupancy (level),total_occupied_beds_overnight,2013-01-01,history,121108.42551,,
Bed occupancy (level),total_occupied_beds_overnight,2013-04-01,history,118055.655455,,
Bed occupancy (level),total_occupied_beds_overnight,2013-07-01,history,115145.628835,,
Bed occupancy (level),total_occupied_beds_overnight,2013-10-01,history,116487.794852,,
Bed occupancy (level),total_occupied_beds_overnight,2014-01-01,history,119662.711372,,
Bed occupancy (level),total_occupied_beds_overnight,2014-04-01,history,117510.31881,,
Bed occupancy (level),total_occupied_beds_overnight,2014-07-01,history,116300.428914,,
Bed occupancy (level),total_occupied_beds_overnight,2014-10-01,history,117827.082475,,
Bed occupancy (level),total_occupied_beds_overnight,2015-01-01,history,121201.99053,,
Bed occupancy (level),total_occupied_beds_overnight,2015-04-01,history,114509.432914,,
Bed occupancy (level),total_occupied_beds_overnight,2015-07-01,history,112009.508743,,
